Model,AUC,AUPRC,F1,MCC,Brier,ECE,Threshold
ProtT5_freezed,0.931360946745562,0.7349256663159945,0.6037735849056604,0.5634488596799335,0.0533380685638065,0.0429804495998195,0.4499999999999999
ESM2_freezed,0.8955621301775148,0.668977687640542,0.5507246376811594,0.5135357983371719,0.0528313346400765,0.03207879793875806,0.2
ProteinBERT_freezed,0.874112426035503,0.5435272172227066,0.4473684210526316,0.3988224191716136,0.0624535095723018,0.0476973043767722,0.25
Ankh_freezed,0.7590236686390532,0.2189845886266731,0.2758620689655172,0.1964247366432098,0.0881980850208816,0.0631368019833014,0.35
